port_id,port_name,port_city,port_state,lat,lon
0406,"Plymouth (New Bedford), Massachusetts - 0406 ",New Bedford,MA,41.6362152,-70.934205
0408,"Salem (Gloucester), Massachusetts - 0408 ",Beverly,MA,42.5584284,-70.8800491
0402,"Springfield, Massachusetts - 0402 ",Springfield,MA,42.1018764,-72.5886727
0403,"Worcester, Massachusetts - 0403 ",Worcester,MA,42.2625621,-71.8018877
3805,"Battle Creek, Michigan - 3805 ",Battle Creek,MI,42.3192548,-85.1824269
3883,"Capital Region International Airport Lansing, Michigan - 3883 ",Lansing,MI,42.7337712,-84.5553805
3807,"Detroit Metropolitan Airport, Michigan - 3807 ",Detroit,MI,42.3315509,-83.0466403
3801,"Detroit, Michigan - 3801 ",Detroit,MI,42.3315509,-83.0466403
3806,"Grand Rapids, Michigan - 3806 ",Grand Rapids,MI,42.9632405,-85.6678639
3802,"Port Huron, Michigan - 3802 ",Port Huron,MI,42.9815877,-82.440466
3804,"Saginaw/Bay City/Flint, Michigan - 3804 ",Freeland,MI,43.5250265,-84.1227598
3803,"Sault Sainte Marie, Michigan - 3803 ",Sault Sainte Marie,MI,46.4846922,-84.4114514275418
,"Ashland, Wisconsin Port Of Entry ",Duluth,MN,46.7729322,-92.1251218
3424,"Baudette, Minnesota - 3424 ",Baudette,MN,48.7124408,-94.600171
3510,"Duluth, MN and Superior, WI, Minnesota - 3510 ",Duluth,MN,46.7729322,-92.1251218
3613,"Grand Portage, Minnesota - 3613 ",Grand Portage,MN,47.963776,-89.6848121
3604,"International Falls, Minnesota - 3604 ",International Falls,MN,48.601033,-93.4105904
3430,"Lancaster, Minnesota - 3430 ",Lancaster,MN,48.8582488,-96.8045602
3501,"Minneapolis-St. Paul, Minnesota - 3501 ",Bloomington,MN,44.8322405,-93.3204872
3425,"Pinecreek, Minnesota - 3425 ",Roseau,MN,48.8457996,-95.7613231
3581,"Rochester International Airport, Rochester, Minnesota - 3581 ",Rochester,MN,44.0234387,-92.4630182
3426,"Roseau, Minnesota - 3426 ",Roseau,MN,48.8457996,-95.7613231
3423,"Warroad, Minnesota - 3423 ",Warroad,MN,48.905266,-95.314404
1902,"Gulfport, Mississippi - 1902 ",Gulfport,MS,30.3674198,-89.0928155
1903,"Pascagoula, Mississippi - 1903 ",Pascagoula,MS,30.3646795,-88.5585995
2015,"Vicksburg, Mississippi - 2015 ",Flowood,MS,32.3092861,-90.1386811
4501,"Kansas City, Missouri - 4501 ",Kansas City,MO,39.100105,-94.5781416
4506,"Spirit of St. Louis Airport, Missouri - 4506 ",Chesterfield,MO,38.661953,-90.5643258
4505,"Springfield, Missouri - 4505 ",Springfield,MO,37.1968298,-93.2946576
4503,"St. Louis, Missouri - 4503 ",St. Louis,MO,38.6319657,-90.2428756
3310,"Area Port of Sweetgrass, Montana - 3310 ",Sweetgrass,MT,48.9970672,-111.9625745
3386,"Bozeman Yellowstone User Fee Airport, Montana - 3386 ",Belgrade,MT,45.773279,-111.184535
3305,"Butte Airport, MT, Montana - 3305 ",Butte,MT,46.0131505,-112.536508
3322,"Del Bonita, MT, Montana - 3322 ",Cut Bank,MT,48.63304,-112.326162
3304,"Great Falls Airport, MT, Montana - 3304 ",Great Falls,MT,47.5048851,-111.29189
3348,"Helena Airport, Montana - 3348 ",Helena,MT,46.5927425,-112.036277
3324,"Kalispell Airport, MT, Montana - 3324 ",Kalispell,MT,48.202158,-114.315321
3319,"Morgan, MT, Montana - 3319 ",Loring,MT,48.7895367,-107.8619764
3317,"Opheim, MT, Montana - 3317 ",Opheim,MT,48.857088,-106.407904
3316,"Piegan, MT, Montana - 3316 ",Babb,MT,48.8592409,-113.4368242
3301,"Raymond, Montana - 3301 ",Raymond,MT,48.8764172,-104.5802366
3318,"Roosville, Montana - 3318 ",Eureka,MT,48.8799647,-115.0535
3309,"Scobey, MT, Montana - 3309 ",Scobey,MT,48.792086,-105.419948
3306,"Turner, MT, Montana - 3306 ",Turner,MT,48.8456288,-108.4048141
3321,"Whitlash, Montana - 3321 ",Whitlash,MT,48.9083386,-111.2530312
3323,"Wild Horse, MT, Montana - 3323 ",Havre,MT,48.5536972,-109.677802
3325,"Willow Creek, Montana - 3325 ",Havre,MT,48.5536972,-109.677802
3512,"Omaha, Nebraska - 3512 ",Omaha,NE,41.2587459,-95.9383758
2722,"Las Vegas, Nevada - 2722 ",Las Vegas,NV,36.1672559,-115.148516
2833,"Reno, Nevada - 2833 ",Reno,NV,39.5261206,-119.8126581
0182,"Manchester (User Fee Airport), New Hampshire - 0182 ",Manchester,NH,42.9956397,-71.4547891
0131,"Portsmouth, New Hampshire - 0131 ",Portsmouth,NH,43.0702223,-70.7548621
4681,"Morristown Airport, New Jersey - 4681 ",Morristown,NJ,40.7970382,-74.4809868
4601,"New York/Newark, New Jersey - 4601 ",Elizabeth,NJ,40.6639916,-74.2107006
4602,"Perth Amboy, New Jersey - 4602 ",Perth Amboy,NJ,40.5200187,-74.2745215
2407,"Albuquerque, New Mexico - 2407 ",Albuquerque,NM,35.0841034,-106.650985
2406,"Columbus, New Mexico - 2406 ",Columbus,NM,31.8327963,-107.640227
2408,"Santa Teresa, New Mexico - 2408 ",Santa Teresa,NM,31.8588727,-106.646571
0983," Ithaca, New York - 0983 ",Ithaca,NY,42.4396039,-76.4968019
1002,"Albany, New York - 1002 ",Albany,NY,42.6511674,-73.754968
0708,"Alexandria Bay, New York - 0708 ",Alexandria Bay,NY,44.336127,-75.917931
0981,"Binghamton, New York - 0981 ",Johnson City,NY,42.1157038,-75.9587873
0901,"Buffalo, New York - 0901 ",Buffalo,NY,42.8867166,-78.8783922
0706,"Cape Vincent, New York - 706 ",Cape Vincent,NY,44.123197,-76.330734
0712,"Champlain, New York - 0712 ",Champlain,NY,44.986656,-73.446693
4701,"John F. Kennedy International Airport, New York - 4701 ",Jamaica,NY,40.7029134,-73.8006429
0704,"Massena, New York - 0704 ",Rooseveltown,NY,44.9728277,-74.7310168
0701,"Ogdensburg, New York - 0701 ",Ogdensburg,NY,44.694285,-75.486374
0903,"Rochester, New York - 0903 ",Rochester,NY,43.157285,-77.615214
0906,"Syracuse, New York - 0906 ",N. Syracuse,NY,43.13479,-76.129924
0715,"Trout River, New York - 0715 ",Constable,NY,44.929321,-74.297447
1512,"Charlotte, North Carolina - 1512 ",Charlotte,NC,35.2272086,-80.8430827
1502,"Greensboro/Winston-Salem, North Carolina - 1502 ",Greensboro,NC,36.0726355,-79.7919754
1511,"Morehead City - Beaufort, North Carolina - 1511 ",Morehead City,NC,34.7229391,-76.7260436
1503,"Raleigh-Durham, North Carolina - 1503 ",Morrisville,NC,35.824341,-78.8300321
1501,"Wilmington, North Carolina - 1501 ",Wilmington,NC,34.2257282,-77.9447107
3410,"Ambrose, North Dakota - 3410 ",Ambrose,ND,48.9539222,-103.4826921
3413,"Antler, North Dakota - 3413 ",Antler,ND,48.9708532,-101.2823803
3421,"Carbury, North Dakota - 3421 ",Souris,ND,48.9097383,-100.6815394
3422,"Dunseith, North Dakota - 3422 ",Dunseith,ND,48.813057,-100.060968
3411,"Fargo - Hector International Airport, North Dakota - 3411 ",Fargo,ND,46.877229,-96.789821
3417,"Fortuna, North Dakota - 3417 ",Fortuna,ND,48.9107543,-103.7752713
3427,"Grand Forks - Mark Andrews International Airport, North Dakota - 3427 ",Grand Forks,ND,47.9078244,-97.0592028
3408,"Hannah, North Dakota - 3408 ",Hannah,ND,48.9716708,-98.6917884
3415,"Hansboro, North Dakota - 3415 ",Hansboro,ND,48.9521858,-99.3807545
3416,"Maida, North Dakota - 3416 ",Langdon,ND,48.7605902,-98.3678245
3434,"Minot - Minot International Airport, North Dakota - 3434 ",Minot,ND,48.23251,-101.296273
3404,"Neche, North Dakota - 3404 ",Neche,ND,48.9826245,-97.5519408
3420,"Noonan, North Dakota - 3420 ",Noonan,ND,48.888919,-103.008794
3406,"Northgate, North Dakota - 3406 ",Flaxton,ND,48.8986389,-102.3923913
3401,"Pembina - (Area Port), North Dakota - 3401 ",Pembina,ND,48.96913,-97.248351
3403,"Portal, North Dakota - 3403 ",Portal,ND,48.9958637,-102.5496127
3405,"Saint John, North Dakota - 3405 ",St. John,ND,48.9444517,-99.7109743
3409,"Sarles, North Dakota - 3409 ",Sarles,ND,48.94584,-98.995961
3414,"Sherwood, North Dakota - 3414 ",Sherwood,ND,48.9600187,-101.632661
3407,"Walhalla, North Dakota - 3407 ",Walhalla,ND,48.923328,-97.918148
3419,"Westhope, North Dakota - 3419 ",Westhope,ND,48.909464,-101.020712
3433,"Williston Basin International Airport, Williston, ND - 3433 ",Williston,ND,48.1465457,-103.621814
4122,"Ashtabula/Conneaut, Ohio - 4122 ",Ashtabula,OH,41.865054,-80.789809
4101,"Cleveland, Ohio - 4101 ",Middleburg Heights,OH,41.3614401,-81.812912
4103,"Columbus, Ohio - 4103 ",Groveport,OH,39.8522449,-82.8868636
4104,"Dayton, Ohio - 4104 ",Vandalia,OH,39.8906122,-84.1988308
4105,"Toledo-Sandusky-Port Clinton, Ohio - 4105 ",Port Clinton,OH,41.5119954,-82.9376919
5504,"Oklahoma City, Oklahoma - 5504 ",Oklahoma City,OK,35.4729886,-97.5170536
5505,"Tulsa, Oklahoma - 5505 ",Tulsa,OK,36.1563122,-95.9927516
2901,"Astoria, Oregon - 2901 ",Astoria,OR,46.1882007,-123.8319802
2903,"Coos Bay, Oregon - 2903 ",North Bend,OR,43.4065089,-124.2242824
2983,"Hillsboro, Oregon - 2983 ",Hillsboro,OR,45.5228939,-122.989827
2902,"Newport, Oregon - 2902 ",Newport,OR,44.636755,-124.053442
2904,"Portland, Oregon - 2904 ",Portland,OR,45.5202471,-122.674194
4106,"Erie, Pennsylvania - 4106 ",Erie,PA,42.1294712,-80.0852695
1109,"Harrisburg, Pennsylvania - 1109 ",Mechanicsburg,PA,40.2101972,-77.0047276
1101,"Philadelphia, Pennsylvania - 1101 ",Philadelphia,PA,39.9527237,-75.1635262
1104,"Pittsburgh, Pennsylvania - 1104 ",Pittsburgh,PA,40.4416941,-79.9900861
0501,"Newport, Rhode Island - 0501 ",Warwick,RI,41.7002024,-71.4161108
0502,"Providence, Rhode Island - 0502 ",Warwick,RI,41.7002024,-71.4161108
1601,"Charleston, South Carolina - 1601 ",Charleston,SC,32.7884363,-79.9399309
1604,"Columbia, South Carolina - 1604 ",West Columbia,SC,33.9934867,-81.0739826
1602,"Georgetown, South Carolina - 1602 ",Georgetown,SC,33.376834,-79.2944965
1603,"Greenville-Spartanburg, South Carolina - 1603 ",Greer,SC,34.9381361,-82.2272119
1681,"Myrtle Beach International Airport, South Carolina - 1681 ",Myrtle Beach,SC,33.6956461,-78.8900409
3502,South Dakota Sioux Falls Regional Airport � Joe Foss Field - 3502 ,Sioux Falls,SD,43.5488256,-96.7307737
2008,"Chattanooga, Tennessee - 2008 ",Chattanooga,TN,35.0457219,-85.3094883
2016,"Knoxville, Tennessee - 2016 ",Knoxville,TN,35.9603948,-83.9210261
2006,"Memphis, Tennessee - 2006 ",Memphis,TN,35.1460249,-90.0517638
2007,"Nashville, Tennessee - 2007 ",Nashville,TN,36.1622767,-86.7742984
2027,"Tri-Cities, Tennessee - 2027 ",Blountville,TN,36.5331586,-82.326806
5584,"Addison Airport, Texas - 5584 ",Addison,TX,32.960477850000004,-96.8300673063398
5583,"Alliance Airport, Texas - 5583 ",Fort Worth,TX,32.753177,-97.3327459
5502,"Amarillo, Texas - 5502 ",Amarillo,TX,35.2072185,-101.833824
5506,"Austin, Texas - 5506 ",Austin,TX,30.2711286,-97.7436995
2301,"Brownsville, Texas - 2301 ",Brownsville,TX,25.9140277,-97.4890879
5382,"Conroe, Texas - 5382 ",Conroe,TX,30.3118769,-95.4560512
5312,"Corpus Christi, Texas - 5312 ",Corpus Christi,TX,27.7635302,-97.4033191
5501,"Dallas/Ft. Worth, Texas - 5501 ",Irving,TX,32.8295183,-96.9442177
2302,"Del Rio, Texas - 2302 ",Del Rio,TX,29.3655405,-100.894698
2303,"Eagle Pass, Texas - 2303 ",Eagle Pass,TX,28.7099337,-100.493813
2402,"El Paso, Texas - 2402 ",El Paso,TX,31.7865623,-106.441207
5311,"Freeport, Texas - 5311 ",Freeport,TX,28.9541368,-95.3596617
2383,Harlingen Airport (Valley International Airport) � 2383 ,Harlingen,TX,26.1907543,-97.6960599
2305,"Hidalgo, Texas - 2305 ",Pharr,TX,26.1947962,-98.1836216
5309,"Houston Airport, Texas - 5309 ",Houston,TX,29.7589382,-95.3676974
5301,"Houston Seaport, Texas - 5301 ",Houston,TX,29.7589382,-95.3676974
2304,"Laredo, Texas - 2304 ",Laredo,TX,27.5236998,-99.497352
5503,"Lubbock, Texas - 5503 ",Lubbock,TX,33.5634402,-101.8792389
5585,"McKinney, Texas - 5585 ",Mckinney,TX,33.1976496,-96.6154471
5582,"Midland, Texas - 5582 ",Midland,TX,31.9973662,-102.077948
2101,"Port Arthur-Beaumont, Texas - 2101 ",Port Arthur,TX,29.8988618,-93.9288723
5313,"Port Lavaca-Point Comfort, Texas - 5313 ",Corpus Christi,TX,27.7635302,-97.4033191
2403,"Presidio, Texas - 2403 ",Presidio,TX,29.5635581,-104.371552
2309,"Progreso, Texas - 2309 ",Progreso,TX,26.0922991,-97.9572242
2307,"Rio Grande City, Texas - 2307 ",Rio Grande City,TX,26.3827771,-98.8205251
2310,"Roma, Texas - 2310 ",Roma,TX,26.4070669,-99.0055462
2102,"Sabine, Texas - 2102 ",Pt Arthur,TX,29.8988618,-93.9288723
5507,"San Antonio, Texas - 5507 ",San Antonio,TX,29.4246002,-98.4951405
2381,South Texas International Airport at Edinburg - 2381 ,Edinburg,TX,26.3013982,-98.1624501
5381,"Sugar Land, Texas - 5381 ",Sugar Land,TX,29.6196787,-95.6349463
2404,"Tornillo, Texas - 2404 ",Tornillo,TX,31.4453942,-106.088304
3303,"Salt Lake City, Utah - 3303 ",Salt Lake City,UT,40.7596198,-111.886797
0206,"Beecher Falls, Vermont - 0206 ",Beecher Falls,VT,45.0085694,-71.5072002
0207,"Burlington International Airport, Vermont - 0207 ",South Burlington,VT,44.4671635,-73.1715669
0209,"Derby Line, Vermont - 0209 ",Derby Line,VT,45.0053262,-72.0996523
0212,"Highgate Springs, Vermont - 0212 ",Highgate Springs,VT,44.979319,-73.1053021
0211,"Norton, Vermont - 0211 ",Norton,VT,45.0096336,-71.7944363
0203,"Richford, Vermont - 0203 ",Richford,VT,44.9965604,-72.671942
0201,"St. Albans, Vermont - 0201 ",St. Albans,VT,44.8107911,-73.0833607
1410,"Front Royal, Virginia - 1410 ",Front Royal,VA,38.9178538,-78.1917718
1412,"New River Valley Airport, Virginia - 1412 ",Dublin,VA,37.1056784,-80.6853435
1401,"Norfolk-Newport News, Virginia - 1401 ",Norfolk,VA,36.8448348,-76.2863999
5401,"Port of Washington-Dulles, Virginia - 5401 ",Sterling,VA,39.003809849999996,-77.40832792370676
1404,"Richmond - Petersburg, Virginia - 1404 ",Richmond,VA,37.5385087,-77.43428
3010,Anacortes - 3010 ,Anacortes,WA,48.5020123,-122.623735
3005,Bellingham - 3005 ,Bellingham,WA,48.7544012,-122.478836
3004,"Blaine, Washington - 3004 ",Blaine,WA,48.9881108,-122.743575
3014,Friday Harbor - 3014 ,Friday Harbor,WA,48.5342662,-123.017124
,Kenneth G Ward Port of Entry  ,Lynden,WA,48.9466041,-122.4569315
2905,"Longview, Washington - 2905 ",Longview,WA,46.1377048,-122.934462
3019,"Oroville, WA, Washington - 3019 ",Oroville,WA,48.9376147,-119.436168
3007,"Port Angeles, Washington - 3007 ",Port Angeles,WA,48.118146,-123.430741
3001,"Seattle, Washington - 3001 ",Seattle,WA,47.6038321,-122.330062
3022,"Spokane, Washington - 3022 ",Spokane,WA,47.6571934,-117.42351
3009,"Sumas, Washington - 3009 ",Sumas,WA,49.0000244,-122.2649118
3002,"Tacoma, Washington, Washington - 3002 ",Fife,WA,47.2359524,-122.3626381
1409,"Charleston, West Virginia - 1409 ",Charleston,WV,38.3505995,-81.6332812
3781,"Appleton International Airport, Appleton, Wisconsin - 3781 ",Appleton,WI,44.2613967,-88.4069744
3703,"Green Bay, Wisconsin - 3703 ",Green Bay,WI,44.5126379,-88.0125794
3701,"Milwaukee, Wisconsin - 3701 ",Milwaukee,WI,43.0349931,-87.922497
3708,"Racine, Wisconsin - 3708 ",Racine,WI,42.7260523,-87.7825242
3782,"Sheboygan County Memorial Airport, Wisconsin - 3782 ",Sheboygan Falls,WI,43.7291617,-87.8106439
3332,"Natrona County Airport, Wyoming - 3332 ",Casper,WY,42.8501191,-106.325138
